,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
55532,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Febrero,2022-02-22,12:19:00,GUSTAVO A. MADERO,TRIUNFO DE LA REPUBLICA
55535,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,03:47:00,CUAUHTEMOC,CUAUHTEMOC
55537,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,04:40:00,IZTAPALAPA,XALPA III
55548,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Marzo,2023-03-21,03:55:00,BENITO JUAREZ,ALAMOS II
55552,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,03:50:00,VENUSTIANO CARRANZA,EL PARQUE
55564,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-18,18:45:00,CUAUHTEMOC,SAN RAFAEL II
55569,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,08:30:00,XOCHIMILCO,SAN MARCOS (AMPL)
55574,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Febrero,2022-02-10,17:40:00,AZCAPOTZALCO,DEL MAESTRO
55576,TENTATIVA DE EXTORSION,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,06:00:00,COYOACAN,DEL CARMEN
55578,ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Marzo,2023-03-21,08:49:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
55589,ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-17,08:48:00,BENITO JUAREZ,MIXCOAC
55599,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Enero,2022-01-19,16:54:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
55600,ROBO A REPARTIDOR Y VEHICULO SIN VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-16,13:45:00,VENUSTIANO CARRANZA,MAGDALENA  MIXHUCA
55607,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Febrero,2022-02-25,12:32:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
